OID,EFF_DATE,SITE_NO,SITE_TYPE_CODE,STATE_CODE,ARPT_ID,ARPT_NAME,CITY,COUNTRY_CODE,OWNERSHIP_TYPE_CODE,FACILITY_USE_CODE,RWY_ID,LAT1_DECIMAL,LONG1_DECIMAL,LAT2_DECIMAL,LONG2_DECIMAL,RWY_LEN,RWY_WIDTH,SURFACE_TYPE_CODE,COND,TREATMENT_CODE,PCN,PAVEMENT_TYPE_CODE,SUBGRADE_STRENGTH_CODE,TIRE_PRES_CODE,DTRM_METHOD_CODE,RWY_LGT_CODE,RWY_LEN_SOURCE,LENGTH_SOURCE_DATE,GROSS_WT_SW,GROSS_WT_DW,GROSS_WT_DTW,GROSS_WT_DDTW,Shape__Area,Shape__Length
734,7/11/2024 12:00:00 AM,02187.,A,CA,SFO,SAN FRANCISCO INTL,SAN FRANCISCO,US,PU,PU,10R/28L,37.62629111,-122.39310544,37.61171194,-122.35834916,11381,200,ASPH,GOOD,GRVD,80,F,B,X,T,HIGH,3RD PARTY SURVEY,10/22/2014 12:00:00 AM,75,200,400,877,2.15813802242337E-05,0.0765461950489566
735,7/11/2024 12:00:00 AM,02203.,A,CA,RHV,REID-HILLVIEW OF SANTA CLARA COUNTY,SAN JOSE,US,PU,PU,13L/31R,37.33651369,-121.82260172,37.32972519,-121.81616794,3100,75,ASPH,FAIR,NONE,,,,,,MED,NGS,3/11/2006 12:00:00 AM,17,,,,2.19602179640788E-06,0.0191865115912111
736,7/11/2024 12:00:00 AM,02203.,A,CA,RHV,REID-HILLVIEW OF SANTA CLARA COUNTY,SAN JOSE,US,PU,PU,13R/31L,37.33601502,-121.82342502,37.32922961,-121.81699263,3099,75,ASPH,FAIR,NONE,,,,,,,NGS,3/11/2006 12:00:00 AM,17,,,,2.19520870814449E-06,0.0191801016979455
737,7/11/2024 12:00:00 AM,02204.,A,CA,SJC,NORMAN Y MINETA SAN JOSE INTL,SAN JOSE,US,PU,PU,12L/30R,37.37499447,-121.94017713,37.352259,-121.91525588,11000,150,CONC,GOOD,GRVD,82,R,B,W,T,HIGH,3RD PARTY SURVEY,12/22/2016 12:00:00 AM,220,250,605,,1.55911507135897E-05,0.0684151684858179
738,7/11/2024 12:00:00 AM,02204.,A,CA,SJC,NORMAN Y MINETA SAN JOSE INTL,SAN JOSE,US,PU,PU,12R/30L,37.37372961,-121.9419888,37.3509935,-121.91706755,11000,150,CONC,GOOD,GRVD,67,R,C,W,T,HIGH,3RD PARTY SURVEY,12/22/2016 12:00:00 AM,220,250,605,875,1.5591253486491E-05,0.0684160214989844
739,7/11/2024 12:00:00 AM,02211.,A,CA,SBP,SAN LUIS OBISPO COUNTY RGNL,SAN LUIS OBISPO,US,PU,PU,07/25,35.23686075,-120.65026905,35.23688697,-120.64189927,2500,100,ASPH,GOOD,NONE,25,F,D,X,T,,3RD PARTY SURVEY,7/29/2020 12:00:00 AM,12.5,12.5,,,2.29945862884051E-06,0.0172891052965043
740,7/11/2024 12:00:00 AM,02211.,A,CA,SBP,SAN LUIS OBISPO COUNTY RGNL,SAN LUIS OBISPO,US,PU,PU,11/29,35.24221477,-120.649567,35.23265633,-120.63278655,6101,150,ASPH,GOOD,GRVD,47,F,D,X,T,HIGH,3RD PARTY SURVEY,7/29/2020 12:00:00 AM,112,147,,,8.41843620946747E-06,0.0395105836219532
741,7/11/2024 12:00:00 AM,02213.4,A,CA,E16,SAN MARTIN,SAN MARTIN,US,PU,PU,14/32,37.08547677,-121.5989455,37.07769897,-121.59466886,3095,75,ASPH,FAIR,NONE,,,,,,MED,3RD PARTY SURVEY,8/26/2014 12:00:00 AM,12.5,,,,2.18508057514555E-06,0.0182510547412828
742,7/11/2024 12:00:00 AM,02220.,A,CA,NSI,SAN NICOLAS ISLAND NOLF,SAN NICOLAS ISLAND,US,MN,PR,12/30,33.24908569,-119.47024702,33.23048188,-119.44616819,10002,200,PEM,,NONE,63,R,C,W,T,HIGH,DOD (NGA),5/31/2011 12:00:00 AM,,,,,1.79785583895864E-05,0.0620564361307065
743,7/11/2024 12:00:00 AM,02230.,A,CA,SNA,JOHN WAYNE/ORANGE COUNTY,SANTA ANA,US,PU,PU,02L/20R,33.66780841,-117.87383402,33.68165077,-117.86506336,5700,150,ASPH,GOOD,GRVD,120,F,B,X,T,HIGH,3RD PARTY SURVEY,11/8/2019 12:00:00 AM,70,200,300,,7.7229642556631E-06,0.0337270637167208
744,7/11/2024 12:00:00 AM,02230.,A,CA,SNA,JOHN WAYNE/ORANGE COUNTY,SANTA ANA,US,PU,PU,02R/20L,33.67399897,-117.8680515,33.6810075,-117.86361113,2886,75,ASPH,GOOD,GRVD,120,F,B,X,T,MED,3RD PARTY SURVEY,11/8/2019 12:00:00 AM,25,60,,,1.95512961909117E-06,0.0170700373199817
745,7/11/2024 12:00:00 AM,02235.,A,CA,SBA,SANTA BARBARA MUNI,SANTA BARBARA,US,PU,PU,07/25,34.427499,-119.85464161,34.42791763,-119.83457877,6052,150,ASPH,GOOD,GRVD,66,F,A,X,U,HIGH,3RD PARTY SURVEY,9/22/2022 12:00:00 AM,110,160,245,,8.27155963634141E-06,0.0409588364308813
746,7/11/2024 12:00:00 AM,02235.,A,CA,SBA,SANTA BARBARA MUNI,SANTA BARBARA,US,PU,PU,15L/33R,34.43078061,-119.84036891,34.41965252,-119.83693927,4180,75,ASPH,GOOD,NONE,14,F,A,X,T,,3RD PARTY SURVEY,6/8/2012 12:00:00 AM,35,41,63,,2.85626583718113E-06,0.0237817949307575
747,7/11/2024 12:00:00 AM,02235.,A,CA,SBA,SANTA BARBARA MUNI,SANTA BARBARA,US,PU,PU,15R/33L,34.43054038,-119.84153694,34.41940166,-119.8381015,4184,100,ASPH,GOOD,NONE,19,F,A,X,U,MED,3RD PARTY SURVEY,9/22/2022 12:00:00 AM,48,63,100,,3.81215204470209E-06,0.0239697118492595
748,7/11/2024 12:00:00 AM,02235.06,A,CA,44CA,SANTA CRUZ RANCH,SANTA BARBARA,US,PR,PR,09/27,33.99043611,-119.68238611,33.98916666,-119.677,1697,60,DIRT,,NONE,,,,,,,OWNER,10/22/2019 12:00:00 AM,,,,,9.22884510146105E-07,0.0114024655279847
