ID,ARPT_ID,LAT1_DECIMAL,LONG1_DECIMAL,LAT2_DECIMAL,LONG2_DECIMAL
347758,0MI8,44.890998840332,-84.3011016845703,44.8972015380859,-84.2947998046875
240020,0MS0,32.4715995788574,-88.620002746582,32.478401184082,-88.613296508789
256983,0N0,39.2935981750488,-94.4419021606445,39.2859992980957,-94.443000793457
253508,0N4,39.1991996765136,-75.4875030517578,39.2053985595703,-75.4833984375
251454,0N6,39.0150985717773,-75.5361022949218,39.0106010437011,-75.5317993164062
243232,0NE6,40.4384002685546,-98.0710983276367,40.4282989501953,-98.0700988769531
257003,0O4,39.9472999572753,-122.170997619628,39.93989944458,-122.170997619628
246376,0O9,41.8450012207031,-123.989997863769,41.8461990356445,-123.978996276855
243925,0OH8,40.1846008300781,-84.25830078125,40.1921005249023,-84.2537994384765
241923,0OK3,35.6260986328125,-98.5239028930664,35.6128005981445,-98.5211029052734
